Time,Event,Object,Involved,P1,P2,P3,P4
7568.693848,BeginTask: Break,/car 2,<no path>,involved2: <no path>,check content: 0.000000,check receive: 0.000000,msgparam(3): 0.000000
7568.693848,Trigger: Break to Requirement,/car 2,/car 2>variables/activetasksequence/ts157,0.000000,0.000000,0.000000,0.000000
7568.693848,BeginTask: Travel,/car 2,/Line 2 WIP Buffer Area 4,end speed: 0.000000,forcetravel: 0.000000,,
7570.285645,Trigger: OnArrival,/NN1,/car 2,toedge: 1.000000,fromedge: 0.000000,,
7570.285645,Trigger: OnContinue,/NN1,/car 2,toedge: 1.000000,fromedge: 0.000000,,
7573.039551,Trigger: OnArrival,/NN10,/car 1,toedge: 2.000000,fromedge: 1.000000,,
7573.039551,Trigger: OnContinue,/NN10,/car 1,toedge: 2.000000,fromedge: 1.000000,,
7578.039551,Trigger: OnArrival,/NN11,/car 1,toedge: 2.000000,fromedge: 1.000000,,
7578.039551,Trigger: OnContinue,/NN11,/car 1,toedge: 2.000000,fromedge: 1.000000,,
7580.071777,Trigger: OnProcessFinish,/Line 1 Workstation 1,/Line 1 Workstation 1/Product,,,,
7580.071777,TaskSequence: Finish TS,/Translation Operator 1,/Translation Operator 1>variables/activetasksequence/ts126,,,,
7580.071777,Trigger: OnResourceAvailable,/Translation Operator 1,<no path>,port: 0.000000,resource: <no path>,nextts: <no path>,lastts: <no path>
7580.071777,Trigger: Send To Port,/Line 1 Workstation 1,/Line 1 Workstation 1/Product,,,,
7580.071777,Trigger: Request Transport From,/Line 1 Workstation 1,/Line 1 Workstation 1/Product,port: 1.000000,,,
7580.071777,TaskSequence: Receive TS,/Translation Operator 1,/Translation Operator 1>variables/tasksequencequeue/ts159,,,,
7580.071777,TaskSequence: Begin TS,/Translation Operator 1,/Translation Operator 1>variables/activetasksequence/ts159,,,,
7580.071777,BeginTask: Travel,/Translation Operator 1,/Line 1 Workstation 1,end speed: 0.000000,forcetravel: 0.000000,,
7580.071777,BeginTask: Load,/Translation Operator 1,/Line 1 Workstation 1/Product,involved2: /Line 1 Workstation 1,output port: 1.000000,end speed: 0.000000,
7580.071777,Trigger: Load Time,/Translation Operator 1,/Line 1 Workstation 1/Product,station: /Line 1 Workstation 1,,,
7583.039551,Trigger: OnArrival,/NN12,/car 1,toedge: 0.000000,fromedge: 1.000000,,
7583.039551,Trigger: OnContinue,/NN12,/car 1,toedge: 0.000000,fromedge: 1.000000,,
7583.039551,BeginTask: Unload,/car 1,/car 1/Product,involved2: /Line 1 WIP Buffer Area 3,input port: 1.000000,end speed: 0.000000,
7583.039551,Trigger: Unload Time,/car 1,/car 1/Product,station: /Line 1 WIP Buffer Area 3,,,
7583.753906,Engine: Send Object,/Line 1 Workstation 1,/Line 1 Workstation 1/Product,1.000000,,,
7583.753906,Trigger: OnExit,/Line 1 Workstation 1,/Line 1 Workstation 1/Product,port: 1.000000,,,
7583.753906,Engine: Receive Object,/Translation Operator 1,/Translation Operator 1/Product,1.000000,,,
7583.753906,Trigger: OnLoad,/Translation Operator 1,/Translation Operator 1/Product,station: /Line 1 Workstation 1,,,
7583.753906,BeginTask: Break,/Translation Operator 1,<no path>,involved2: <no path>,check content: 0.000000,check receive: 0.000000,msgparam(3): 0.000000
7583.753906,BeginTask: Travel,/Translation Operator 1,/Line 1 Finished Goods Buffer Area 1,end speed: 0.000000,forcetravel: 0.000000,,
7583.753906,Trigger: Pull From Port,/Line 1 Workstation 1,<no path>,,,,
7583.753906,Trigger: Pull Requirement,/Line 1 Workstation 1,/Line 1 WIP Buffer Area 1/Product,port: 1.000000,,,
7583.753906,Trigger: Request Transport From,/Line 1 WIP Buffer Area 1,/Line 1 WIP Buffer Area 1/Product,port: 1.000000,,,
7583.753906,TaskSequence: Receive TS,/Translation Operator 1,/Translation Operator 1>variables/tasksequencequeue/ts160,,,,
7583.753906,Trigger: PassTo,/Translation Operator 1,/Translation Operator 1>variables/tasksequencequeue/ts160,,,,
7588.666504,BeginTask: Unload,/Translation Operator 1,/Translation Operator 1/Product,involved2: /Line 1 Finished Goods Buffer Area 1,input port: 1.000000,end speed: 0.000000,
7588.666504,Trigger: Unload Time,/Translation Operator 1,/Translation Operator 1/Product,station: /Line 1 Finished Goods Buffer Area 1,,,
